n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
500,0.05,1,12,ns3::TcpLinuxReno,2,91972,1727,15912,497,497,464,0.928,0,0,380496,2067
500,0.05,1,13,ns3::TcpLinuxReno,2,93732,1760,15912,497,497,482,0.964,0,0,375980,2068
500,0.05,1,14,ns3::TcpLinuxReno,2,89236,1673,15944,498,498,474,0.948,0,0,372872,2067
500,0.05,1,15,ns3::TcpLinuxReno,2,92384,1733,15944,498,498,478,0.956,0,0,377720,2081
500,0.05,1,16,ns3::TcpLinuxReno,2,90436,1698,15816,494,494,468,0.936,0,0,377688,2062
500,0.05,1,17,ns3::TcpLinuxReno,2,92780,1744,15944,498,498,475,0.95,0,0,378012,2059
500,0.05,1,18,ns3::TcpLinuxReno,2,91352,1714,16008,500,500,479,0.958,0,0,379576,2078
500,0.05,1,19,ns3::TcpLinuxReno,2,92280,1731,15976,499,499,473,0.946,0,0,376084,2070
500,0.05,1,20,ns3::TcpLinuxReno,2,93016,1747,15944,498,498,477,0.954,0,0,382068,2077
500,0.1,1,1,ns3::TcpLinuxReno,2,100868,1896,15592,487,487,435,0.87,0,0,392928,2125
500,0.1,1,2,ns3::TcpLinuxReno,2,102880,1934,15688,490,490,439,0.878,0,0,386488,2110
500,0.1,1,3,ns3::TcpLinuxReno,2,100304,1882,15432,482,482,440,0.88,0,0,397904,2150
500,0.1,1,4,ns3::TcpLinuxReno,2,100828,1894,15624,488,488,441,0.882,0,0,395348,2132
500,0.1,1,5,ns3::TcpLinuxReno,2,100884,1895,15720,491,491,449,0.898,0,0,389356,2125
500,0.1,1,6,ns3::TcpLinuxReno,2,101972,1915,15944,498,498,445,0.89,0,0,390212,2132
500,0.1,1,7,ns3::TcpLinuxReno,2,100344,1884,15784,493,493,443,0.886,0,0,401060,2153
500,0.1,1,8,ns3::TcpLinuxReno,2,96340,1807,15656,489,489,442,0.884,0,0,404140,2153
500,0.1,1,9,ns3::TcpLinuxReno,2,100792,1894,15624,488,488,439,0.878,0,0,396252,2130
500,0.1,1,10,ns3::TcpLinuxReno,2,101268,1902,15432,482,482,438,0.876,0,0,385840,2116
500,0.1,1,11,ns3::TcpLinuxReno,2,100096,1881,15752,492,492,453,0.906,0,0,394880,2133
500,0.1,1,12,ns3::TcpLinuxReno,2,100928,1896,15560,486,486,434,0.868,0,0,392708,2121
500,0.1,1,13,ns3::TcpLinuxReno,2,103452,1944,15560,486,486,436,0.872,0,0,388304,2124
500,0.1,1,14,ns3::TcpLinuxReno,2,104176,1957,15784,493,493,444,0.888,0,0,386916,2136
500,0.1,1,15,ns3::TcpLinuxReno,2,103824,1951,15720,491,491,441,0.882,0,0,389976,2127
500,0.1,1,16,ns3::TcpLinuxReno,2,98352,1847,15432,482,482,438,0.876,0,0,389624,2111
500,0.1,1,17,ns3::TcpLinuxReno,2,103784,1952,15720,491,491,451,0.902,0,0,395672,2138
500,0.1,1,18,ns3::TcpLinuxReno,2,100492,1886,15688,490,490,446,0.892,0,0,398492,2152
500,0.1,1,19,ns3::TcpLinuxReno,2,98912,1856,15816,494,494,441,0.882,0,0,399424,2142
500,0.1,1,20,ns3::TcpLinuxReno,2,103012,1936,15592,487,487,448,0.896,0,0,393756,2131
