n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
500,0.1,0.9,3,ns3::TcpLinuxReno,1,100304,1882,15432,482,482,440,0.88,0,0,397904,2150
500,0.1,0.9,4,ns3::TcpLinuxReno,1,100828,1894,15624,488,488,441,0.882,0,0,395348,2132
500,0.1,0.9,5,ns3::TcpLinuxReno,1,100884,1895,15720,491,491,449,0.898,0,0,389356,2125
500,0.1,0.9,6,ns3::TcpLinuxReno,1,101972,1915,15944,498,498,445,0.89,0,0,390212,2132
500,0.1,0.9,7,ns3::TcpLinuxReno,1,100344,1884,15784,493,493,443,0.886,0,0,401060,2153
500,0.1,0.9,8,ns3::TcpLinuxReno,1,96340,1807,15656,489,489,442,0.884,0,0,404140,2153
500,0.1,0.9,9,ns3::TcpLinuxReno,1,100792,1894,15624,488,488,439,0.878,0,0,396252,2130
500,0.1,0.9,10,ns3::TcpLinuxReno,1,101268,1902,15432,482,482,438,0.876,0,0,385840,2116
1000,0.01,0.9,1,ns3::TcpLinuxReno,1,165944,3114,32008,1000,1000,984,0.984,1,14.0616,732396,4032
1000,0.01,0.9,2,ns3::TcpLinuxReno,1,166552,3125,32008,1000,1000,987,0.987,1,14.0616,729860,4023
1000,0.01,0.9,3,ns3::TcpLinuxReno,1,165452,3103,32008,1000,1000,987,0.987,1,14.0616,732224,4038
1000,0.01,0.9,4,ns3::TcpLinuxReno,1,164340,3082,32008,1000,1000,992,0.992,1,14.0616,730536,4026
1000,0.01,0.9,5,ns3::TcpLinuxReno,1,163596,3067,32008,1000,1000,990,0.99,1,14.0616,731488,4043
1000,0.01,0.9,6,ns3::TcpLinuxReno,1,164380,3083,32008,1000,1000,988,0.988,1,14.0616,729972,4025
1000,0.01,0.9,7,ns3::TcpLinuxReno,1,164136,3078,32008,1000,1000,991,0.991,1,14.0616,730816,4031
1000,0.01,0.9,8,ns3::TcpLinuxReno,1,163832,3072,32008,1000,1000,988,0.988,1,14.0616,733580,4035
1000,0.01,0.9,9,ns3::TcpLinuxReno,1,164508,3085,31976,999,999,985,0.985,1,14.0616,730708,4029
1000,0.01,0.9,10,ns3::TcpLinuxReno,1,165044,3095,32008,1000,1000,992,0.992,1,14.0616,728956,4025
1000,0.05,0.9,1,ns3::TcpLinuxReno,1,182420,3426,31688,990,990,930,0.93,1,3014.06,756320,4141
1000,0.05,0.9,2,ns3::TcpLinuxReno,1,186532,3503,31912,997,997,944,0.944,1,3014.06,754936,4144
1000,0.05,0.9,3,ns3::TcpLinuxReno,1,182264,3421,31912,997,997,941,0.941,1,3014.06,760972,4152
1000,0.05,0.9,4,ns3::TcpLinuxReno,1,180352,3384,31784,993,993,949,0.949,1,3014.06,749200,4132
1000,0.05,0.9,5,ns3::TcpLinuxReno,1,181540,3407,31784,993,993,944,0.944,1,3014.06,760304,4167
1000,0.05,0.9,6,ns3::TcpLinuxReno,1,183580,3446,31880,996,996,940,0.94,1,3014.06,757368,4142
1000,0.05,0.9,7,ns3::TcpLinuxReno,1,184228,3459,31848,995,995,947,0.947,1,3014.06,752748,4132
1000,0.05,0.9,8,ns3::TcpLinuxReno,1,182744,3431,31752,992,992,937,0.937,1,3014.06,755808,4132
1000,0.05,0.9,9,ns3::TcpLinuxReno,1,179628,3370,31816,994,994,934,0.934,1,3014.06,756076,4146
1000,0.05,0.9,10,ns3::TcpLinuxReno,1,185652,3486,31848,995,995,952,0.952,1,3014.06,761884,4150
1000,0.1,0.9,1,ns3::TcpLinuxReno,1,202444,3805,31112,972,972,862,0.862,0,0,780560,4246
1000,0.1,0.9,2,ns3::TcpLinuxReno,1,203172,3817,31208,975,975,857,0.857,0,0,786520,4271
1000,0.1,0.9,3,ns3::TcpLinuxReno,1,199120,3740,31336,979,979,870,0.87,0,0,786620,4264
1000,0.1,0.9,4,ns3::TcpLinuxReno,1,200832,3772,31208,975,975,876,0.876,0,0,775860,4253
1000,0.1,0.9,5,ns3::TcpLinuxReno,1,199620,3750,31144,973,973,887,0.887,0,0,776568,4257
1000,0.1,0.9,6,ns3::TcpLinuxReno,1,204264,3836,31336,979,979,871,0.871,0,0,788764,4266
1000,0.1,0.9,7,ns3::TcpLinuxReno,1,208088,3910,31208,975,975,872,0.872,0,0,774828,4253
1000,0.1,0.9,8,ns3::TcpLinuxReno,1,203884,3831,31272,977,977,873,0.873,0,0,782120,4247
1000,0.1,0.9,9,ns3::TcpLinuxReno,1,200668,3768,31272,977,977,857,0.857,0,0,784764,4267
1000,0.1,0.9,10,ns3::TcpLinuxReno,1,205156,3855,31208,975,975,875,0.875,0,0,790528,4270
100,0.01,0.9,1,ns3::TcpLinuxReno,2,16052,301,3208,100,100,98,0.98,1,14.0616,73020,402
