n,loss,fth,run,tcp_variant,delack,conv_ack_bytes,conv_ack_packets,qicaaf_confirm_bytes,qicaaf_confirm_packets,data_complete_count,confirmed_count,fidelity,global_confirmed,confirm_time_ms,tcp_data_bytes_fwd,tcp_data_packets_fwd
10,0.1,0.9,16,ns3::TcpLinuxReno,2,1600,30,328,10,10,10,1,1,3014.06,7408,43
10,0.1,0.9,17,ns3::TcpLinuxReno,2,1712,32,328,10,10,10,1,1,3014.06,8536,45
10,0.1,0.9,18,ns3::TcpLinuxReno,2,1552,29,296,9,9,9,0.9,1,3014.06,8372,42
10,0.1,0.9,19,ns3::TcpLinuxReno,2,1928,36,328,10,10,10,1,1,3014.06,7408,43
10,0.1,0.9,20,ns3::TcpLinuxReno,2,1600,30,328,10,10,9,0.9,1,3014.06,7972,44
50,0.01,0.9,1,ns3::TcpLinuxReno,2,8588,161,1608,50,50,50,1,1,14.0616,36876,203
50,0.01,0.9,2,ns3::TcpLinuxReno,2,8112,152,1608,50,50,50,1,1,14.0616,36820,202
50,0.01,0.9,3,ns3::TcpLinuxReno,2,8000,150,1608,50,50,50,1,1,14.0616,36200,200
50,0.01,0.9,4,ns3::TcpLinuxReno,2,8528,160,1608,50,50,48,0.96,1,14.0616,36312,202
50,0.01,0.9,5,ns3::TcpLinuxReno,2,8312,156,1608,50,50,48,0.96,1,14.0616,36200,200
50,0.01,0.9,6,ns3::TcpLinuxReno,2,8312,156,1608,50,50,50,1,1,14.0616,36820,202
50,0.01,0.9,7,ns3::TcpLinuxReno,2,8112,152,1608,50,50,50,1,1,14.0616,36820,202
50,0.01,0.9,8,ns3::TcpLinuxReno,2,8052,151,1608,50,50,50,1,1,14.0616,36312,202
50,0.01,0.9,9,ns3::TcpLinuxReno,2,8112,152,1608,50,50,49,0.98,1,14.0616,36820,202
50,0.01,0.9,10,ns3::TcpLinuxReno,2,8216,154,1608,50,50,50,1,1,14.0616,36820,202
50,0.01,0.9,11,ns3::TcpLinuxReno,2,8312,156,1608,50,50,50,1,1,14.0616,36764,201
50,0.01,0.9,12,ns3::TcpLinuxReno,2,8312,156,1608,50,50,50,1,1,14.0616,36200,200
50,0.01,0.9,13,ns3::TcpLinuxReno,2,8736,164,1608,50,50,49,0.98,1,14.0616,37384,203
50,0.01,0.9,14,ns3::TcpLinuxReno,2,8224,154,1608,50,50,50,1,1,14.0616,36424,204
50,0.01,0.9,15,ns3::TcpLinuxReno,2,8224,154,1608,50,50,50,1,1,1014.06,37044,206
50,0.01,0.9,16,ns3::TcpLinuxReno,2,8000,150,1608,50,50,50,1,1,14.0616,37440,204
50,0.01,0.9,17,ns3::TcpLinuxReno,2,8000,150,1608,50,50,50,1,1,14.0616,36200,200
50,0.01,0.9,18,ns3::TcpLinuxReno,2,8052,151,1608,50,50,49,0.98,1,14.0616,36256,201
50,0.01,0.9,19,ns3::TcpLinuxReno,2,8112,152,1608,50,50,49,0.98,1,14.0616,36256,201
50,0.01,0.9,20,ns3::TcpLinuxReno,2,8216,154,1608,50,50,49,0.98,1,14.0616,36820,202
50,0.05,0.9,1,ns3::TcpLinuxReno,2,9860,185,1608,50,50,48,0.96,1,3014.06,37664,208
50,0.05,0.9,2,ns3::TcpLinuxReno,2,8388,157,1608,50,50,46,0.92,1,3014.06,38792,210
50,0.05,0.9,3,ns3::TcpLinuxReno,2,8476,159,1608,50,50,49,0.98,1,1014.06,38568,206
50,0.05,0.9,4,ns3::TcpLinuxReno,2,9004,169,1608,50,50,47,0.94,1,1014.06,37496,205
50,0.05,0.9,5,ns3::TcpLinuxReno,2,9464,178,1608,50,50,46,0.92,1,3014.06,38060,206
50,0.05,0.9,6,ns3::TcpLinuxReno,2,9676,182,1576,49,49,47,0.94,1,3014.06,37556,206
50,0.05,0.9,7,ns3::TcpLinuxReno,2,9004,169,1608,50,50,46,0.92,1,3014.06,38060,206
50,0.05,0.9,8,ns3::TcpLinuxReno,2,8152,153,1576,49,49,46,0.92,1,3014.06,36372,203
50,0.05,0.9,9,ns3::TcpLinuxReno,2,9028,169,1608,50,50,43,0.86,0,0,38284,210
50,0.05,0.9,10,ns3::TcpLinuxReno,2,9020,169,1576,49,49,44,0.88,0,0,37556,206
50,0.05,0.9,11,ns3::TcpLinuxReno,2,9716,183,1608,50,50,49,0.98,1,14.0616,37440,204
50,0.05,0.9,12,ns3::TcpLinuxReno,2,8476,159,1608,50,50,47,0.94,1,3014.06,37496,205
